timestamp,client_id,write_rate_limit_kbs,read_rate_limit_kbs,write_buffer_size_kb,max_write_buffer_number
1730149817770620,0,10240,147816,10240,4
1730149817770620,1,10240,10240,10240,4
1730149817834549,0,10240,147816,10240,4
1730149817834549,1,10240,10240,10240,4
1730149817897437,0,10240,147816,10240,4
1730149817897437,1,10240,10240,10240,4
1730149817961671,0,10240,147816,10240,4
1730149817961671,1,10240,10240,10240,4
1730149818025552,0,10240,147816,10240,4
1730149818025552,1,10240,10240,10240,4
1730149818089721,0,10240,147816,10240,4
1730149818089721,1,10240,10240,10240,4
1730149818152068,0,10240,147816,10240,4
1730149818152068,1,10240,10240,10240,4
1730149818215072,0,10240,147816,10240,4
1730149818215072,1,10240,10240,10240,4
1730149818277432,0,10240,147816,10240,4
1730149818277432,1,10240,10240,10240,4
1730149818341793,0,10240,147816,10240,4
1730149818341793,1,10240,10240,10240,4
1730149818405740,0,10240,147816,10240,4
1730149818405740,1,10240,10240,10240,4
1730149818467402,0,10240,147816,10240,4
1730149818467402,1,10240,10240,10240,4
1730149818531619,0,10240,147816,10240,4
1730149818531619,1,10240,10240,10240,4
1730149818596969,0,10240,147816,10240,4
1730149818596969,1,10240,10240,10240,4
1730149818659878,0,10240,147816,10240,4
1730149818659878,1,10240,10240,10240,4
1730149818724042,0,10240,147816,10240,4
1730149818724042,1,10240,10240,10240,4
1730149818787585,0,10240,147816,10240,4
1730149818787585,1,10240,10240,10240,4
1730149818848880,0,10240,147816,10240,4
1730149818848880,1,10240,10240,10240,4
1730149818911266,0,10240,147816,10240,4
1730149818911266,1,10240,10240,10240,4
1730149818973564,0,10240,147816,10240,4
1730149818973564,1,10240,10240,10240,4
1730149819038150,0,10240,147816,10240,4
1730149819038150,1,10240,10240,10240,4
1730149819101571,0,10240,147816,10240,4
1730149819101571,1,10240,10240,10240,4
1730149819164109,0,10240,147816,10240,4
1730149819164109,1,10240,10240,10240,4
1730149819227170,0,10240,147816,10240,4
1730149819227170,1,10240,10240,10240,4
1730149819289783,0,10240,147816,10240,4
1730149819289783,1,10240,10240,10240,4
1730149819354401,0,10240,147816,10240,4
1730149819354401,1,10240,10240,10240,4
1730149819416087,0,10240,147816,10240,4
1730149819416087,1,10240,10240,10240,4
1730149819477403,0,10240,147816,10240,4
1730149819477403,1,10240,10240,10240,4
1730149819542453,0,10240,147816,10240,4
1730149819542453,1,10240,10240,10240,4
1730149819606708,0,10240,147816,10240,4
1730149819606708,1,10240,10240,10240,4
1730149819669571,0,10240,147816,10240,4
1730149819669571,1,10240,10240,10240,4
1730149819734412,0,10240,147816,10240,4
1730149819734412,1,10240,10240,10240,4
1730149819796224,0,10240,147816,10240,4
1730149819796224,1,10240,10240,10240,4
1730149819860178,0,10240,147816,10240,4
1730149819860178,1,10240,10240,10240,4
1730149819924211,0,10240,147816,10240,4
1730149819924211,1,10240,10240,10240,4
1730149819987614,0,10240,147816,10240,4
1730149819987614,1,10240,10240,10240,4
1730149820052415,0,10240,147816,10240,4
1730149820052415,1,10240,10240,10240,4
1730149820116861,0,10240,147816,10240,4
1730149820116861,1,10240,10240,10240,4
1730149820181500,0,10240,147816,10240,4
1730149820181500,1,10240,10240,10240,4
1730149820243425,0,10240,147816,10240,4
1730149820243425,1,10240,10240,10240,4
1730149820306734,0,10240,147816,10240,4
